朋友|483.505359491077|216.38130299747|674|0.321040508898323|155.224806666082
希望|378.676891182892|185.244611307979|570|0.324990546154348|123.066409681559
大家|306.356769713835|143.628302827477|448|0.320598890239905|98.2176403877378
工作|206.281395235012|101.09592692554|317|0.318914595979621|65.7861478194864
生活|195.913589103754|104.364512145519|316|0.330267443498479|64.7038802199082
知道|178.007041138257|96.9016821831465|303|0.319807531957579|56.9279924974973
可能|149.34881475839|80.1630723178387|246|0.325866147633491|48.6677229189443
看到|125.215759384306|69.5275804102421|214|0.324895235561879|40.6820036412238
照片|115.474432831394|63.7002421319485|189|0.337038318158458|38.9193086317946
台北|115.682829433913|62.9616330265999|189|0.333130333474073|38.537459546544
感情|102.011370152431|54.6954458504915|170|0.321737916767597|32.8209257194515
唱歌|97.2568944237768|49.947244271636|152|0.328600291260763|31.9586438347704
想要|96.3733147054432|55.6930477768183|170|0.327606163393049|31.5724918841211
找到|97.8099596932113|52.6954455822706|164|0.321313692574821|31.4276793196201
好像|94.9762018262153|54.5899302065372|168|0.324940060753198|30.8615727915184
游泳|82.4876601502878|43.446044921875|128|0.339422225952148|27.998145221795
事情|84.4320914289504|47.5299778431654|146|0.325547793446338|27.4866810607543
需要|84.754623874275|46.5107930898666|145|0.320764090274942|27.1862398236267
身高|83.4381118198897|46.1199058592319|143|0.322516824190433|26.9101948405971
看看|78.2291973537553|43.2158288806677|134|0.322506185676625|25.2294000471035
人生|74.8606121225443|41.5491622537374|124|0.335073889143044|25.0838364475298
旅行|74.7762266109255|38.829737752676|116|0.334739118557552|25.030528184801
自介|69.0954574808847|38.7194260656834|121|0.319995256741185|22.1102186562453
分享|67.462650638999|41.6594740301371|129|0.322941659148349|21.7865003279038
遇到|61.0287213819009|35.369305729866|105|0.336850530760629|20.5575571891359
地方|62.3006641519679|40.0839342623949|123|0.325885644409715|20.3028920843173
不能|60.6167723408837|33.4484424740076|103|0.324742159941821|19.6848215786802
算是|55.9301848815216|32.6187063157558|98|0.332843941997509|18.6160232126151
世界|56.5521517952975|32.4244614243507|99|0.327519812367179|18.5219501449561
上班|55.9577615954599|29.1462840884924|93|0.313400904177338|17.537213079757
出去|51.9079086009498|29.2973632514477|89|0.329183856757839|17.0872455494941
交朋友|53.5403192422591|27.4412479400635|87|0.315416642989235|16.8875077599653
交友|51.1683322732778|30.0959244370461|94|0.320169408904745|16.382534698577
美食|47.6727430216056|28.1774590611458|83|0.339487458568021|16.1842983713713
只能|49.4820030260402|26.6954446434975|83|0.321631863174668|15.9149888268799
同志|45.1865570558245|25.4580344259739|75|0.339440459012985|15.3381456682455
心情|48.2591120293425|25.1894493401051|80|0.314868116751313|15.1952557207697
健身|43.6548538089836|25.3333342373371|73|0.347031975853933|15.1496301729462
方面|45.0919811133867|24.7841735184193|75|0.330455646912257|14.9008997893795
日本|46.8087360586029|25.1007202267647|79|0.317730635781831|14.8725694680438
家人|45.2028062142798|29.0000012218952|89|0.325842710358373|14.7290048926652
好友|43.8385956462777|27.1846533119678|83|0.327525943517685|14.3582774015374
甲板|43.9263117701733|25.868106380105|81|0.319359338025988|14.0282778488457
出櫃|42.3660129193899|24.8729026019573|76|0.327275034236281|13.865338328648
台灣|40.807418256103|23.6570751667023|70|0.337958216667175|13.7912023006241
台南|42.7139923851213|21.8393293023109|68|0.321166607386926|13.7183080222804
介文|40.2459318187926|24.1966436505318|73|0.331460871925093|13.3399516520948
像是|39.2529016220068|24.4580345153809|72|0.339694923824734|13.3340114263874
走走|40.6639521693529|23.5323750376701|72|0.326838542189863|13.2905468467096
小弟|39.3439910429367|22.227818608284|66|0.336785130428545|13.2504711549749
故事|40.2821182651608|23.155876159668|71|0.326139100840394|13.137573830946
接受|36.5578832619911|23.2709839344025|66|0.352590665672765|12.8899683949327
鞠躬|38.7547063571436|22.3045572191477|68|0.328008194399231|12.7118612566791
臉書|38.6143458575372|22.6019194275141|70|0.322884563250201|12.4679761974031
身材|39.4680161431375|19.9688254892826|65|0.307212699835117|12.1250757964693
下班|36.206126214443|21.8920871168375|66|0.331698289649053|12.0095101401485
部分|36.6946513175156|21.1678664684296|65|0.325659484129686|11.9499612183808
慢跑|37.5028300310683|18.9904084205627|60|0.316506807009379|11.8699009869489
男友|35.5698835147225|20.6450845748186|62|0.33298523507772|11.844246023837
交往|35.8210344054417|20.7434061020613|64|0.324115720344707|11.6101603698123
高雄|34.796117977287|19.4796169549227|60|0.324660282582045|11.2969174952642
下台|34.0742819582999|18.5875306874514|57|0.32609702960441|11.1115221325047
不想|36.0310167173574|21.1606722176075|69|0.306676408950833|11.0498628177266
文章|31.8664692813846|20.4052765220404|59|0.345852144441362|11.0210867367417
逛街|35.3371181201161|16.5299766808748|54|0.30611067927546|10.8170692313859
期待|33.5489018221875|19.5851326584816|61|0.321067748499698|10.7714703726872
方式|32.3886508485461|20.7625906020403|63|0.329564930191116|10.6741634558855
基本上|32.6697862073463|19.1726624667645|59|0.324960380792618|10.6163861663527
男生|32.2645440107202|20.3357322514057|62|0.327995681474286|10.5826311002533
星座|31.5039251499096|18.0551565587521|55|0.328275573795492|10.3419691053968
跑步|31.5885435451207|17.3117511570454|53|0.326636814283875|10.3179812314457
打工|29.4833746919549|18.0239815115929|52|0.346615029069094|10.2193807759069
聊聊|32.4161762063317|16.9208640009165|54|0.313349333350305|10.1575872040201
男孩|26.9220048777905|17.7218230366707|47|0.377060064610015|10.1512128986508
原因|28.2126243559302|19.1726624965668|55|0.348593863573941|9.83474772579399
不到|29.2863542419196|19.443645849824|58|0.335235273272827|9.81781896745471
